Tammy Abraham
Marcos Alonso
Faustino Anjorin
Kepa Arrizabalaga
César Azpilicueta
Willy Caballero
Ben Chilwell
Andreas Christensen
Billy Gilmour
Olivier Giroud
Kai Havertz
Callum Hudson-Odoi
Reece James
N'Golo Kanté
Édouard Mendy
Mason Mount
Christian Pulisic
Antonio Rüdiger
Thiago Silva
Timo Werner
Hakim Ziyech
Kurt Zouma
Kingsley Coman
Philippe Coutinho
Michaël Cuisance
Alphonso Davies
Serge Gnabry
Leon Goretzka
Lucas Hernandez
Ron-Thorben Hoffmann
Joshua Kimmich
Robert Lewandowski
Álvaro Odriozola
Benjamin Pavard
Ivan Perišić
Niklas Süle
Corentin Tolisso
Sven Ulreich
Joshua Zirkzee
Trent Alexander-Arnold
Joël Matip
Virgil van Dijk
Andrew Robertson
Jordan Henderson
Georginio Wijnaldum
Muhammed Salah
Roberto Firmino
Sadio Mané
Simon Mignolet
Caoimhin Kelleher
Dejan Lovren
Joe Gomez
Alberto Moreno
James Milner
Adam Lallana
Alex Oxlade-Chamberlain
Rhian Brewster
Divock Origi
Naby Keïta
Nathaniel Phillips
Curtis Jones
Ben Woodburn
Rafael Camacho
Dani Ceballos
Achraf Hakimi
Theo Hernández
Mariano Díaz Mejía
Marco Asensio
Keylor Navas
James Rodríguez
Kiko Casilla
Mateo Kovačić
Lucas Vázquez
Rubén Yáñez
Sandro Ramírez
Sergi Samper
Jordi Masip
Martín Montoya
Sergi Roberto
Jérémy Mathieu
Jordi Alba
Ivan Rakitić
Marc-André ter Stegen
Claudio Bravo
Thomas Vermaelen
Luis Suárez
Neymar Brezilya
Álvaro Morata
Asier Illarramendi
Diego López
Raphaël Varane
Dani Carvajal
Ángel Di María
Luka Modrić
Álvaro Arbeloa
Sami Khedira
